personName;finalWorth;country;source;category;selfMade;rank;age;gender;title;
Bernard Arnault & family;211000.0;France;LVMH;Fashion & Retail;FALSE;1;74.00.00;M;Chairman and CEO;
Elon Musk;180000.0;United States;Tesla, SpaceX;Automotive;TRUE;2;51.00.00;M;CEO;
Jeff Bezos;114000.0;United States;Amazon;Technology;TRUE;3;59.00.00;M;Chairman and Founder;
Larry Ellison;107000.0;United States;Oracle;Technology;TRUE;4;78.00.00;M;CTO and Founder;
Warren Buffett;106000.0;United States;Berkshire Hathaway;Finance & Investments;TRUE;5;92.00.00;M;CEO;
Bill Gates;104000.0;United States;Microsoft;Technology;TRUE;6;67.00.00;M;Cochair;
Michael Bloomberg;94500.0;United States;Bloomberg LP;Media & Entertainment;TRUE;7;81.00.00;M;CEO;
Carlos Slim Helu & family;93000.0;Mexico;Telecom;Telecom;TRUE;8;83.00.00;M;Honorary Chairman;
Mukesh Ambani;83400.0;India;Diversified;Diversified;FALSE;9;65.00.00;M;Founder and Chairman;
Steve Ballmer;80700.0;United States;Microsoft;Technology;TRUE;10;67.00.00;M;Owner;
Francoise Bettencourt Meyers & family;80500.0;France;L'Oréal;Fashion & Retail;FALSE;11;69.00.00;F;;
Larry Page;79200.0;United States;Google;Technology;TRUE;12;50.00.00;M;Cofounder and board member;
Amancio Ortega;77300.0;Spain;Zara;Fashion & Retail;TRUE;13;87.00.00;M;;
Sergey Brin;76000.0;United States;Google;Technology;TRUE;14;49.00.00;M;Cofounder and board member;
Zhong Shanshan;68000.0;China;Beverages, pharmaceuticals;Food & Beverage;TRUE;15;68.00.00;M;;
Mark Zuckerberg;64400.0;United States;Facebook;Technology;TRUE;16;38.00.00;M;Cofounder;
Charles Koch & family;59000.0;United States;Koch Industries;Diversified;FALSE;17;87.00.00;M;Chairman and CEO;
Julia Koch & family;59000.0;United States;Koch Industries;Diversified;FALSE;17;60.00.00;F;;
Jim Walton;58800.0;United States;Walmart;Fashion & Retail;FALSE;19;74.00.00;M;Chairman and CEO;
Rob Walton & family;57600.0;United States;Walmart;Fashion & Retail;FALSE;20;78.00.00;M;Director;
Alice Walton;56700.0;United States;Walmart;Fashion & Retail;FALSE;21;73.00.00;F;Philanthropist;
David Thomson & family;54400.0;Canada;Media;Media & Entertainment;FALSE;22;65.00.00;M;Chairman;
Michael Dell;50100.0;United States;Dell Technologies;Technology;TRUE;23;58.00.00;M;Chairman and CEO;
Gautam Adani;47200.0;India;Infrastructure, commodities;Diversified;TRUE;24;60.00.00;M;;
Phil Knight & family;45100.0;United States;Nike;Fashion & Retail;TRUE;25;85.00.00;M;Chairman;
Zhang Yiming;45000.0;China;TikTok;Technology;TRUE;26;39.00.00;M;Founder;
Dieter Schwarz;42900.0;Germany;Retail;Fashion & Retail;FALSE;27;83.00.00;M;;
François Pinault & family;40100.0;France;Luxury goods;Fashion & Retail;TRUE;28;86.00.00;M;;
Klaus-Michael Kuehne;39100.0;Switzerland;Shipping;Logistics;FALSE;29;85.00.00;M;;
Giovanni Ferrero;38900.0;Belgium;Nutella, chocolates;Food & Beverage;FALSE;30;58.00.00;M;;
Jacqueline Mars;38300.0;United States;Candy, pet food;Food & Beverage;FALSE;31;83.00.00;F;;
John Mars;38300.0;United States;Candy, pet food;Food & Beverage;FALSE;31;87.00.00;M;;
Li Ka-shing;38000.0;Hong Kong;Diversified;Diversified;TRUE;33;94.00.00;M;Senior Advisor;
Ma Huateng;35300.0;China;Internet media;Technology;TRUE;34;51.00.00;M;Chairman and CEO;
Miriam Adelson & family;35000.0;United States;Casinos;Gambling & Casinos;FALSE;35;77.00.00;F;;
Ken Griffin;35000.0;United States;Hedge funds;Finance & Investments;TRUE;35;54.00.00;M;Founder & CEO;
Mark Mateschitz;34700.0;Austria;Red Bull;Food & Beverage;FALSE;37;30.00.00;M;;
Robin Zeng;33400.0;China;Batteries;Automotive;TRUE;38;54.00.00;M;;
Tadashi Yanai & family;32600.0;Japan;Fashion retail;Fashion & Retail;TRUE;39;74.00.00;M;;
Len Blavatnik;32100.0;United Kingdom;Music, chemicals;Diversified;TRUE;40;65.00.00;M;;
Alain Wertheimer;31600.0;United States;Chanel;Fashion & Retail;FALSE;41;74.00.00;M;;
Gerard Wertheimer;31600.0;United States;Chanel;Fashion & Retail;FALSE;41;72.00.00;M;;
Gianluigi Aponte;31200.0;Switzerland;Shipping;Logistics;TRUE;43;82.00.00;M;;
Rafaela Aponte-Diamant;31200.0;Switzerland;Shipping;Logistics;TRUE;43;78.00.00;F;;
Colin Huang;30200.0;China;E-commerce;Technology;TRUE;45;43.00.00;M;;
Reinhold Wuerth & family;29700.0;Germany;Fasteners;Manufacturing;TRUE;46;87.00.00;M;;
Lee Shau Kee;29500.0;Hong Kong;Real estate;Real Estate;TRUE;47;95.00.00;M;;
Jeff Yass;28500.0;United States;Trading, investments;Finance & Investments;TRUE;48;64.00.00;M;;
Jim Simons;28100.0;United States;Hedge funds;Finance & Investments;TRUE;49;84.00.00;M;Founder;
Stephen Schwarzman;27800.0;United States;Investments;Finance & Investments;TRUE;50;76.00.00;M;Chairman and CEO;
Susanne Klatten;27400.0;Germany;BMW, pharmaceuticals;Automotive;FALSE;51;60.00.00;F;;
Gina Rinehart;27000.0;Australia;Mining;Metals & Mining;FALSE;52;69.00.00;F;Executive Chairman;
William Ding;26700.0;China;Online games;Technology;TRUE;53;51.00.00;M;;
Germán Larrea Mota Velasco & family;26600.0;Mexico;Mining;Metals & Mining;FALSE;54;69.00.00;M;;
Shiv Nadar;25600.0;India;software services;Technology;TRUE;55;77.00.00;M;;
Low Tuck Kwong;25500.0;Indonesia;Coal;Energy;TRUE;56;74.00.00;M;;
Thomas Peterffy;25300.0;United States;Discount brokerage;Finance & Investments;TRUE;57;78.00.00;M;;
